Amount,Payer,Payer country,Beneficiary,Beneficiary country,Date,Purpose,,,
445055,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,30/04/2013,INV.002596/2 DD 13.04.2013,,,
445000,LOTA SALES LLP,GB,METASTAR INVEST LLP,GB,31/10/2012,1210315021854587 DOGOVOR ZAYMA,,,
444672,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,09/10/2012,1210095100895337 INVOICE.NO 7579 DD 05.10.2012 FOR C ONS TRUCTION MATERIALS,,,
443974,METASTAR INVEST LLP,GB,OOO CHARSKIY PIR,UNKNOWN,01/07/2013,1307015020322990 DOQOVOR ZAIMA DD 08.08.2012,,,
443500,POLUX MANAGEMENT LP,GB,RIVARLANE LLP,GB,26/08/2013,1308265072897530 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,,,
443454,TOO ASPI,KZ,LCM ALLIANCE LLP,GB,24/05/2013,1305245102370371 /RFB/SWF OF 13/05/24PAYMENT FOR GOO DS UNDER CONTRACTNO.29A DD 29/01/13,,,
443152,LARKSTONE LIMITED,UNKNOWN,METASTAR INVEST LLP,GB,15/07/2013,INVOICE 0142022 DD 11/05/13,,,
443140,GLOBECOM TRADE L.P,GB,POLUX MANAGEMENT LP,GB,02/12/2013,1312025076753823 PAYMENT FOR EQUIPMENT CON 161 DD 11.11. 2013,,,
443000,LCM ALLIANCE LLP,GB,SMART TEAM GENERAL TRADING LLC,AE,24/05/2013,1305245022301387 CONTRACT.NO 605/12 DD 03.12.2012.IN VOI CE.NO 12345 DD 22.05.2013 FOR EQ UIPMENT,,,
442996,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,09/10/2012,1210095104186665 INVOICE.NO 7784 DD 08.10.2012 FOR C ONS TRUCTION MATERIALS,,,
441670,HILUX SERVICES LP,GB,SAGER ECKART,AE,09/10/2014,1410095020828956 PAYMENT TO THE INVOICE N. 36 DD.09. 10. 2014 FOR CONSULTING SERVICES,,,
441607,DEUTDEFFXXX,DE,HILUX SERVICES LP,GB,29/10/2014,"1410295106744555 RTN 1410095020828956/3812/ EUR350,000.0 0LESS BBK CHG //S AS RTRN YR PYMNT ASBBK STS REAS //ON:I NTERNAL POLICY",,,
440174,METASTAR INVEST LLP,GB,VELASCO INTERNATIONAL INC.,VG,19/08/2013,1308195034914354 INVOICE 14/05 DD 01.04.2013,,,
440000,LCM ALLIANCE LLP,GB,BENTCARD IMPORT LLP,GB,10/09/2012,1209105024331471 Invoice 31 dd 10.08.12,,,
440000,BSMAX LLP,GB,METASTAR INVEST LLP,GB,18/06/2013,1306185072881865 invoice n12 dd 12.03.2013,,,
440000,METASTAR INVEST LLP,GB,BELLEWAY TRADING LIMITED,UNKNOWN,01/08/2013,1308015030263528 CONTRACT NO HCG/A/SD DD 05.01.13 DD 10. 01.13,,,
440000,POLUX MANAGEMENT LP,GB,HILUX SERVICES LP,GB,19/11/2013,1311195076704750 PAYMENT TO THE CONTRACT N 005 DD 05.06. 2013 FOR EQUIPMENT.,,,
440000,POLUX MANAGEMENT LP,GB,HILUX SERVICES LP,GB,19/11/2013,1311195076704750 PAYMENT TO THE CONTRACT N 005 DD 05.06. 2013 FOR EQUIPMENT.,,,
440000,HILUX SERVICES LP,GB,DATEMILE ALLIANCE LLP,GB,12/12/2014,1412125070294834 PAYMENT TO THE CONTRACT N 55 DD 31.05.2 013 FOR EQUIPMENT.,,,
439498,LARKSTONE LIMITED,UNKNOWN,METASTAR INVEST LLP,GB,16/04/2013,INVOICE 03 DD 06.02.2013,,,
439200,HILUX SERVICES LP,GB,FABERLEX LP,GB,08/12/2014,1412085076295646 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,,,
436985,HILUX SERVICES LP,GB,AVROMED COMPANY,UNKNOWN,23/12/2013,1312235036239755 PAYMENT TO THE CONTRACT N 005 DD.04.12. 2013 FOR MEDICAL DEVICES.,,,
436816,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,25/02/2013,INV.0546/8731 DD 07.01.2013,,,
436556,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,29/12/2014,1412295034575098 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
436096,POLUX MANAGEMENT LP,GB,FABERLEX LP,GB,07/11/2013,PAYMENT TO THE CONTRACT N 007 DD 07.06.2013 FOR EQUIPMEN T.,,,
436072,JSC ROSOBORONEXPORT,RU,METASTAR INVEST LLP,GB,26/09/2012,"1209245108026232 PMT UNDER SUPPLEMENTARY AGR 3 DD100 607 TO AGR 30018 DD090317 /FEE/EUR76,97",,,
436000,DANBELL IMPORT LLP,GB,LCM ALLIANCE LLP,GB,03/09/2012,1209035022881447 cntr 31.8 dd 31.08.2012,,,
436000,HILUX SERVICES LP,GB,FABERLEX LP,GB,15/09/2014,1409155075757850 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,,,
435882,LCM ALLIANCE LLP,GB,SINFOLANE LTD,IE,03/05/2013,1305035030717818 INVOICE.NO 2776 DD 14.12.2012,,,
435420,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,23/11/2012,1211235028374853 INV.335 DD 16.07.2012,,,
435326,LCM ALLIANCE LLP,GB,KEMMLITZER KAOLINWERKE,DE,16/10/2012,1210165027702012 INVOICE NO 8148/91619623 DD 10.10.2012,,,
435179,LCM ALLIANCE LLP,GB,BONINVEST LLP,GB,20/09/2012,INVOICE.No 62 DD 12.09.2012,,,
434947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/09/2013,"1309275107612398 CONTRACT N01 29.05.2013DANSKE BANK AS E STONIABRANCH TALLINN ESTONIA /FEE/USD53,5",,,
434400,LCM ALLIANCE LLP,GB,KEYLORD INVESTMENTS L.P.,GB,12/10/2012,1210125020159516 INVOICE.NO 605/2012 DD 10.10.2012 F OR STROITELNIE MATERIALI,,,
434400,POLUX MANAGEMENT LP,GB,RIVERLANE LLP,GB,05/09/2013,1309055074424693 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,,,
434000,HILUX SERVICES LP,GB,POLUX MANAGEMENT LLP,GB,25/09/2013,1309255072699118 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,,,
434000,HILUX SERVICES LP,GB,POLUX MANAGEMENT LP,GB,25/09/2013,1309255072699118 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,,,
433000,HILUX SERVICES LP,GB,"THE FACE SHOP CO., LTD",KR,22/05/2014,1405225023515751 PAYMENT TO THE INVOICE N.5454 DD.22 .05 .2014,,,
432922,LCM ALLIANCE LLP,GB,PARKERS GENERAL TRADING LLC,AE,14/06/2013,1306145028294773 INVOICE.NO 1025 DD 11.06.2013,,,
432922,BKTRUS33,US,LCM ALLIANCE LLP,GB,24/06/2013,1306245105050012 RETURN OF P/O 1002/1306145028294773 re ject on the basis of internal DEUTSCHE BANK POLICY,,,
432840,HILUX SERVICES LP,GB,CANVAS INDUSTRY CORP.,UNKNOWN,11/07/2013,1307115032067639 PAYMENT TO THE CONTRACT N 010 DD.01 .06 .2013 FOR BUILDING MATERIALS.,,,
432561,JSC ROSOBORONEXPORT,RU,METASTAR INVEST LLP,GB,20/09/2012,"1209205105336316 PMNT UNDER SUPPL.AGR.N 26 DD111221 TO A GR.N 30018 DD090317 AND SUPPL.A GR.DD110701 /FEE/EUR76, 51",,,
432561,HILUX SERVICES LP,GB,PJSC ARCELORMITTAL KRYVIY RIH,UA,04/06/2014,1406045024007072 PAYMENT TO THE CONTRACT N.28Z-2014 DD.2 1.01.2014,,,
431644,POLUX MANAGEMENT LP,GB,AVROMED COMPANY,UNKNOWN,06/09/2013,1309065033592323 PAYMENT TO THE CONTRACT N 998 DD.05 .08 .2013 FOR MEDICAL DEVICES.,,,
431037,HILUX SERVICES LP,GB,KUTLUBEY HARITA INSAAT MUHENDISLIK,TR,06/12/2013,1312065023974039 PAYMENT TO THE CONTRACT N 00333 DD. 09. 07.2013 FOR CONSTRUCTION MATERIA LS.,,,
431000,HEKTOR INVEST LIMITED,UNKNOWN,LCM ALLIANCE LLP,GB,15/03/2013,1303155075282620 payment for equipments cnt 017,,,
430896,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,17/05/2013,INVOICE SC01 DD 05.03.2013,,,
430000,BENTCARD IMPORT LLP,GB,LCM ALLIANCE LLP,GB,18/09/2012,1209185024867304 Invoice 31 dd 10.08.12,,,
430000,TOO ESTVAI,KZ,LCM ALLIANCE LLP,GB,13/12/2012,"1212135102181600 /RFB/SWF OF 12/12/13PAYMENT FOR GOO DS, CNTR 28/09-12DD28.09.2012",,,
430000,LCM ALLIANCE LLP,GB,PRACOWNIA PROJEKTOWA NOVATECH,PL,28/01/2013,1301285025855295 INVOICE NO 0248 DD 23.01.2013 FOR C ONS TRUCTION MATERIALS,,,
430000,LCM ALLIANCE LLP,GB,SOPHIA DIAMONDS BVBA,BE,08/05/2013,1305085026494716 INVOICE.NO 2013/21 DD 07.05.2013,,,
430000,HILUX SERVICES LP,GB,STAMPTONE SERVICES L.P.,GB,10/07/2013,1307105036726053 PAYMENT TO THE CONTRACT N 5 DD.01.0 7.2 013 FOR EQUIPMENT.,,,
430000,HILUX SERVICES LP,GB,RASMUS LP,GB,21/11/2014,1411215071054863 PAYMENT TO THE CONTRACT 001 DD 03.06.20 13 FOR EQUIPMENT.,,,
429300,SOLIDSTAR WORLDWIDE LLP,GB,METASTAR INVEST LLP,GB,20/09/2012,1209205024160404 INVOICE 022 DD 18.07.2012,,,
429000,HILUX SERVICES LP,GB,POLUX MANAGEMENT LLP,GB,27/08/2013,1308275076669010 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,,,
429000,HILUX SERVICES LP,GB,POLUX MANAGEMENT LP,GB,27/08/2013,1308275076669010 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,,,
428800,DOCKWOOD ALLIANCE LLP,GB,LCM ALLIANCE LLP,GB,11/04/2013,"1304115074326258 FOR CONSTRUCTION MATERIAL AND EQUIPMENT , INV 32 DD 03.04.2013",,,
428500,POLUX MANAGEMENT LP,GB,WORLD MEDICINE KOLL. STI,TR,27/08/2013,1308275024958538 PAYMENT TO THE CONTRACT N 2/TR-AZ/1 1 F OR MEDICINE.,,,
427505,TOO ARMAS GROUP,KZ,LCM ALLIANCE LLP,GB,10/04/2013,1304105106611380 /RFB/SWF OF 13/04/10PAYMENT FOR GOO DS UNDER CONTRACTNO.10/10-12 DD 10/ 10/12,,,
427254,LCM ALLIANCE LLP,GB,INFOCREST LLP,GB,11/06/2013,INVOICE.No 1564 DD 06.06.2013,,,
427000,HILUX SERVICES LP,GB,LAKEMONT PROJECTS LLP,GB,25/06/2013,1306255077789836 PAYMENT TO THE CONTRACT N 3 DD. 20.06.2 013,,,
426681,LCM ALLIANCE LLP,GB,DELOKALI LIMITED,CY,03/04/2013,1304035072884080 INVOICE.No 1956 DD 01.03.2013,,,
426074,METASTAR INVEST LLP,GB,CROSSLINE HOLDING LIMITED,VG,23/07/2012,1207235023475840 INVOICE 22 DD 22.07.2012,,,
425200,LCM ALLIANCE LLP,GB,BONINVEST LLP,GB,16/11/2012,1211165020896980 INVOICE.No 6992 DD 16.11.2012,,,
425000,HILUX SERVICES LP,GB,FRONTWELL COMPANY LLP,GB,05/11/2014,1411055070053546 PAYMENT TO THE CONTRACT N.06 /1 DD.15.0 9.2014,,,
425000,HILUX SERVICES LP,GB,General Trade L.P,GB,20/11/2014,1411205070964111 PAYMENT TO THE CONTRACT N 21 DD.10.09.2 013 FOR CONSTRUCTION MATEERIALS.,,,
424947,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,11/07/2013,"1307115103097775 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD53,5",,,
424947,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,10/10/2013,1310105104362425 CONTRACT AZ/01/13 29.05.2013,,,
424336,"KAI FANG TRADING CO., LIMITED",CN,LCM ALLIANCE LLP,GB,09/03/2013,"1303085103415558 /RFB/OREO02491310429 OSA PAYMENT PAYER IS OFFSHORE CUST REG: HKG PAYMENT FOR GOODS CONSTRUCTION MATERIAL AND /FEE/USD10, /FEE/USD10,",,,
424303,"KAI FANG TRADING CO., LIMITED",CN,LCM ALLIANCE LLP,GB,13/03/2013,"1303135105811532 /RFB/OREO02491310836 OSA PAYMENT PAYER IS OFFSHORE CUST REG: HKG PAYMENT FOR GOODS:CONSTRUCTION MATERIAL AND /FEE/USD10,00 /FEE/USD10,00",,,
424198,HILUX SERVICES LP,GB,KHARKOV BISCUIT FACTORY JSC,UA,02/12/2014,1412025025736850 PAYMENT TO THE CONTRACT N.11/13-B F OR FOOD,,,
423952,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,12/02/2014,"1402125103833584 CONTRACT N01 29.05.2013 /FEE/USD48,5",,,
422602,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,20/09/2012,1209205106256184 INVOICE.NO 7210 DD 19.09.2012 FOR C ONS TRUCTION MATERIALS,,,
421037,LCM ALLIANCE LLP,GB,ISLAND SMILE GENERAL TRADING LLC,AE,04/04/2013,1304045026748562 INVOICE NO J9514 DD 11.03.2013,,,
421000,SOVER DEVELOPMENT LLP,GB,LCM ALLIANCE LLP,GB,19/10/2012,1210195025920544 PAYMENT UNDER CONTRACT N C-12004 DD ON 13.08.12 FOR CONSTRUCTION MATERIALS,,,
420563,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,09/11/2012,1211095105508860 INVOICE.NO 7999 DD 09.11.2012 FOR C ONS TRUCTION MATERIALS,,,
420317,HILUX SERVICES LP,GB,POLUX MANAGEMENT LLP,GB,08/11/2013,PAYMENT TO THE CONTRACT N 12 DD 03.06.2013 FOR EQUIPMENT .,,,
420317,HILUX SERVICES LP,GB,POLUX MANAGEMENT LP,GB,08/11/2013,PAYMENT TO THE CONTRACT N 12 DD 03.06.2013 FOR EQUIPMENT .,,,
420000,CAPTRON MERCHANTS LLP,GB,LCM ALLIANCE LLP,GB,17/12/2012,1212175025124458 INV 12 DD 25.10.2012,,,
420000,DEXPORT UNIVERSAL LLP,GB,LCM ALLIANCE LLP,GB,19/02/2013,1302195076604453 CNTR 26/9 DD 26.09.2012,,,
420000,LCM ALLIANCE LLP,GB,BENTCARD IMPORT LLP,GB,20/02/2013,1302205075096295 Invoice 885 dd 28.02.2013,,,
420000,LCM ALLIANCE LLP,GB,"HONG KONG PERFECT JEWELLERY CO.,LTD",HK,05/03/2013,1303055021720952 INVOICE.NO 0398 DD 11.02.2013,,,
420000,LCM ALLIANCE LLP,GB,GFG EXPORT LLP,GB,11/03/2013,1303115072326330 OWN PAYMENT,,,
420000,LCM ALLIANCE LLP,GB,LOTA SALES LLP,GB,19/04/2013,1304195071105317 INVOICE.No 21458 DD 08.04.2013,,,
420000,POLUX MANAGEMENT LP,GB,CITYPORT CONTRACTS L.P.,GB,17/10/2013,1310175074307740 PAYMENT TO THE CONTRACT N 111 DD.11.06. 2013,,,
420000,HILUX SERVICES LP,GB,GLOBECOM TRADE L.P.,GB,17/10/2013,1310175076079324 PAYMENT TO THE CONTRACT N 500 DD.16.06. 2013,,,
419600,HILUX SERVICES LP,GB,FABERLEX LP,GB,19/06/2014,1406195075937329 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,,,
419569,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,20/09/2012,1209205102669412 INVOICE.NO 7958 DD 19.09.2012 FOR C ONS TRUCTION MATERIALS,,,
419527,JSC ROSOBORONEXPORT,RU,METASTAR INVEST LLP,GB,12/12/2012,"1212105106266190 PMT UNDER SUPPLEMENTARY AGR 3 DD 07 06. 2010 TO AGR 30018 DD 17.03.2009 /FEE/EUR77,17",,,
419500,HILUX SERVICES LP,GB,FABERLEX LP,GB,01/10/2014,1410015076084195 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,,,
418468,POLUX MANAGEMENT LP,GB,AVROMED COMPANY,UNKNOWN,03/12/2013,1312035033740413 PAYMENT TO THE CONTRACT N 998 DD.05 .08 .2013 FOR MEDICAL DEVICES.,,,
418325,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,20/09/2012,1209205101572132 INVOICE.NO 7199 DD 18.09.2012 FOR C ONS TRUCTION MATERIALS,,,
418000,HILUX SERVICES LP,GB,STAMPTONE SERVICES L.P.,GB,13/05/2014,1405135037981652 PAYMENT TO THE CONTRACT N.71 DD.10. 12. 2013 FOR CONSTRUCTION MATERIALS.,,,
417868,LCM ALLIANCE LLP,GB,ZHEJIANG GKO DECORATION MATERIAL,CN,13/03/2013,1303135027104804 INVOICE NO 28104 DD 26.02.2013 FOR CONS TRUCTION MATERIALS,,,
417390,METASTAR INVEST LLP,GB,NEMA KIMYA AS,TR,30/08/2013,1308305021436468 INVOICE 5013 DD 19.08.2013,,,
417167,LCM ALLIANCE LLP,GB,INFOCREST LLP,GB,15/05/2013,INVOICE.No 097 DD 10.05.2013,,,
417159,SEABON LIMITED,GB,LCM ALLIANCE LLP,GB,22/02/2013,1302225100818689 PMNT FOR INVOICE LCM-020/13 DD 11. 01.2 013 FOR BUILDING EQUIPMENT,,,
416561,HILUX SERVICES LP,GB,POLUX MANAGEMENT LP,GB,04/11/2013,PAYMENT TO THE CONTRACT N 12 DD 03.06.2013 FOR EQUIPMENT .,,,
416561,HILUX SERVICES LP,GB,POLUX MANAGEMENT LP,GB,04/11/2013,PAYMENT TO THE CONTRACT N 12 DD 03.06.2013 FOR EQUIPMENT .,,,
416316,LCM ALLIANCE LLP,GB,FINCROFT EXPRESS INC,PA,24/10/2012,1210245026653151 INVOICE.No 0399 DD 15.10.2012 FOR CONST RUCTION MATERIALS,,,
416074,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,13/05/2014,1405135031036512 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
416074,HILUX SERVICES LP,GB,SAGER ECKART,AE,21/05/2014,1405215021526781 PAYMENT TO THE INVOICE N. 33 DD.21. 05. 2014 FOR CONSULTING SERVICES,,,
416074,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,21/05/2014,1405215038309565 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
416074,FABERLEX LP,GB,HILUX SERVICES LP,GB,21/05/2014,PAYMENT TO THE CONTRACT N 439 DD.01.12.2013,,,
416074,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,30/05/2014,1405305034471511 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
416000,HILUX SERVICES LP,GB,POLUX MANAGEMENT LLP,GB,19/08/2013,1308195077435634 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,,,
416000,HILUX SERVICES LP,GB,POLUX MANAGEMENT LP,GB,19/08/2013,1308195077435634 PAYMENT TO THE CONTRACT N 12 DD 03.06.2 013 FOR EQUIPMENT.,,,
415930,STILL HAIR ACCESSORY CO LIMITED,CN,LCM ALLIANCE LLP,GB,31/05/2013,"1305315106170868 NRA PAYMENT FOR GOODS XIAN HUI /FEE/US D5, /FEE/USD15,",,,
415809,LCM ALLIANCE LLP,GB,M.I.T FZE,AE,20/03/2013,1303205027348829 INVOICE NO 12292-CC-364-E DD 15.03. 201 3,,,
415800,FIRSTWOOD ALLIANCE LLP,GB,LCM ALLIANCE LLP,GB,07/12/2012,1212075023796862 FOR CONSTRUCTION MATERIAL UNDER INVOICE 1271/11 DATED 22/11/2012,,,
415055,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,18/09/2012,1209185103102012 INVOICE.NO 6911 DD 13.09.2012 FOR C ONS TRUCTION MATERIALS,,,
415000,LCM ALLIANCE LLP,GB,METINVEST UKRAINE,UA,19/11/2012,1211195022701444 CONTRACT.NO 10/10-596/E DD 11.10.20 10. INVOICE.NO 75 DD 29.10.2012,,,
415000,LCM ALLIANCE LLP,GB,POLAT YOL YAPI SANAYI VE TICARET,TR,03/04/2013,1304035020163616 CONTRACT.NO 10360105 DD 20.02.2013 FOR CONSTRUCTION MATERIAL,,,
414929,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,18/09/2012,1209185100907708 INVOICE.NO 6992 DD 17.09.2012 FOR C ONS TRUCTION MATERIALS,,,
414920,LCM ALLIANCE LLP,GB,"CHENG ZHANG TRADING CO.,LTD",CN,04/12/2012,1212045027853339 PAYMENT FOR CONSTRUCTION EQUIPMENT INV. 201560 DD 23.11.2012,,,
414057,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,17/03/2014,1403175036946884 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
414057,FABERLEX LP,GB,HILUX SERVICES LP,GB,17/03/2014,PAYMENT TO THE CONTRACT N 439 DD.01.12.2013,,,
413812,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,02/04/2014,1404025031687985 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
413812,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,23/04/2014,1404235035900793 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
413812,HILUX SERVICES LP,GB,UPFIELD EXPRESS INC,VG,29/04/2014,1404295032788327 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
413500,GFG EXPORT LLP,GB,LCM ALLIANCE LLP,GB,19/03/2013,1303195075604687 OWN PAYMENT,,,
413222,LCM ALLIANCE LLP,GB,GROUPE LEPINE,FR,02/05/2013,1305025036215676 INVOICE NO 005B028977 DD 05.04.2013,,,
412000,LCM ALLIANCE LLP,GB,BONINVEST LLP,GB,09/11/2012,1211095022757194 INVOICE.No 6769 DD 08.11.2012,,,
411800,HILUX SERVICES LP,GB,FABERLEX LP,GB,21/05/2014,1405215073981969 PAYMENT TO THE CONTRACT N 5 DD.02.12.20 13,,,
411744,METASTAR INVEST LLP,GB,OOO TOSHIBA SI-AY-ES,RU,23/11/2012,1211235024522477 SHOT SORPC01292 DD 19.11.2012 AZER NET,,,
411400,HIGHCORP WORLDWIDE LLP,GB,LCM ALLIANCE LLP,GB,12/12/2012,1212125028029210 PYMN INV 02/12 DD 20121212,,,
410746,LCM ALLIANCE LLP,GB,GFG EXPORT LLP,GB,10/04/2013,OWN PAYMENT,,,
410229,POLUX MANAGEMENT LP,GB,AVROMED COMPANY,UNKNOWN,02/10/2013,1310025037065589 PAYMENT TO THE CONTRACT N 998 DD.05 .08 .2013 FOR MEDICAL DEVICES.,,,
410222,CARTFIELD TRADE L.P.,GB,LCM ALLIANCE LLP,GB,14/06/2013,1306145071451981 PMT BY CNTR 0056/7805 DD 30.05.2013 FOR BUILDING MATERIALS,,,
410024,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,17/09/2012,1209175103702990 INVOICE.NO 6911 DD 13.09.2012 FOR C ONS TRUCTION MATERIALS,,,
410000,LCM ALLIANCE LLP,GB,GFG EXPORT LLP,GB,19/10/2012,1210195022910136 OWN PAYMENT,,,
410000,DEXPORT UNIVERSAL LLP,GB,LCM ALLIANCE LLP,GB,02/11/2012,1211025027823291 CNTR 26/9 DD 26.09.2012,,,
410000,LCM ALLIANCE LLP,GB,METINVEST UKRAINE,UA,14/01/2013,1301145023577214 CONTRACT.NO 10/10-596/E DD 11.10.20 10. INVOICE.NO 79 DD 22.11.2012,,,
410000,LCM ALLIANCE LLP,GB,INFOCAR TRADE LLP,GB,13/05/2013,1305135070342245 INVOICE.No 20169 DD 10.05.2013,,,
410000,LCM ALLIANCE LLP,GB,TRIADA GENERAL TRADING LLC,AE,31/05/2013,1305315023246808 INVOICE.NO 12998 DD 15.05.2013 FOR EQUI PMENT,,,
410000,HILUX SERVICES LP,GB,SUPER BOX GENERAL TRADING LLC,AE,18/06/2013,1306185026567469 PAYMENT TO THE CONTRACT N 490 DD.11 .06 .2013 FOR EQUIPMENT.,,,
410000,METASTAR INVEST LLP,GB,METASTAR INVEST LLP,GB,12/07/2013,1307115101094683 REPLENISHMENT OF OWN ACCOUNT,,,
410000,HILUX SERVICES LP,GB,RIVERLANE LLP,GB,21/10/2013,1310215075786320 PAYMENT TO THE CONTRACT N 8 DD.14.06.20 13,,,
410000,POLUX MANAGEMENT LP,GB,CITYPORT CONTRACTS L.P.,GB,04/12/2013,1312045076016855 PAYMENT TO THE CONTRACT N 111 DD.11.06. 2013,,,
409822,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,09/11/2012,1211095101120252 INVOICE.NO 8456 DD 09.11.2012 FOR C ONS TRUCTION MATERIALS,,,
409809,POLUX MANAGEMENT LP,GB,RIVARLANE LLP,GB,08/07/2013,PAYMENT TO THE CONTRACT N 001 DD 06.06.2013 FOR CONSTRUC TION MATERIALS.,,,
409719,LCM ALLIANCE LLP,GB,M.I.T FZE,AE,05/04/2013,1304055022352704 INVOICE NO 12292-CC-364-D DD 25.03. 201 3,,,
409297,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,23/01/2013,1301235107982645 INVOICE.NO 9958 DD 19.11.2012 FOR C ONS TRUCTION MATERIALS,,,
408832,LCM ALLIANCE LLP,GB,NOVOTECH INTERNATIONAL GMBH,DE,22/05/2013,1305225034564327 INV No DE001 DD 04.04.2013,,,
408605,LCM ALLIANCE LLP,GB,MARMARA ULUSLAR ARASI BARTER VE,TR,14/12/2012,1212135026461252 INVOICE NO 5669 DD 12.12.2012,,,
407383,HIGH-RIDGE INVEST LTD,HK,LCM ALLIANCE LLP,GB,17/09/2012,1209175100951470 INVOICE.NO 6999 DD 14.09.2012 FOR C ONS TRUCTION MATERIALS,,,
407000,LCM ALLIANCE LLP,GB,LOTA SALES LLP,GB,27/09/2012,1209275022760389 INVOICE.No 6998 DD 01.08.2012,,,
406425,LCM ALLIANCE LLP,GB,MARMARA ULUSLAR ARASI BARTER VE,TR,18/12/2012,1212185027228835 INVOICE NO 5695 DD 14.12.2012,,,
406301,POLUX MANAGEMENT LP,GB,UPFIELD EXPRESS INC,VG,06/11/2013,1311065032973939 PAYMENT TO THE CONTRACT N 5 DD. 07.06.2 013 FOR CONSTRUCTION MATERIALS.,,,
406117,LCM ALLIANCE LLP,GB,METASTAR INVEST LLP,GB,29/08/2012,1208295025932744 INVOICE.No 7458 DD 02.08.2012,,,
406117,LCM ALLIANCE LLP,GB,METASTAR INVEST LLP,GB,29/08/2012,1208295025932744 INVOICE.No 7458 DD 02.08.2012,,,
406057,METASTAR INVEST LLP,GB,LONGVALE ORGANIZATION CORP,PA,04/03/2013,INVOICE No 20-124 DD 01.02.13,,,
406000,BONINVEST LLP,GB,LCM ALLIANCE LLP,GB,10/12/2012,1212105024818266 INVOICE.No 089598/2012 DD 23.11.2012,,,
405616,BERTEX SYSTEM LTD,UNKNOWN,LCM ALLIANCE LLP,GB,06/05/2013,1305065104396586 FOR CONSTRUCTION EQUPMENT BY INV AL2012 /012 DD 08.04.2013,,,
